ISBN,publisher_name,title,author,genre,  num_pages,price,cost,num_in_stock,percentage_to_publishers
9780439785969      ,Scholastic Inc.,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,Historical Fiction,930,44.03,3.95,94,29.46
9780439358071      ,Scholastic Inc.,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,Crime,366,83.28,4.57,46,43.9
9780439554893      ,Scholastic,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,Suspense,825,48.79,1.55,214,47.35
9780439655484      ,Scholastic Inc.,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,Science Fiction,578,50.13,1.46,153,14.81
9780439682589      ,Scholastic,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,Chick lit,562,36.72,2.28,243,42.73
9780976540601      ,Nimble Books,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,Children,898,70.55,1.46,285,33.52
9780439827607      ,Scholastic,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,Romance,281,59.3,3.91,178,34.06
9780517226957      ,Gramercy Books,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Horror,1363,46.42,2.2,38,20.7
9780345453747      ,Del Rey Books,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Crime,1325,44.82,3.5,235,31.02
9781400052929      ,Crown,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,Mystery,247,62.92,4.61,298,31.07
9780739322208      ,Random House Audio,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,Fantasy,343,98.46,3.53,199,16.27
9780517149256      ,Wings Books,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Drama,764,40.21,4.99,206,25.24
9780767908184      ,Broadway Books,A Short History of Nearly Everything,Bill Bryson,Fiction,416,93.19,3.28,153,26.03
9780767915069      ,Broadway Books,Bill Bryson's African Diary,Bill Bryson,Thriller,250,37.78,2.33,221,21.41
9780767910439      ,Broadway Books,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,Historical Fiction,1193,41.09,4.6,126,17.47
9780767903868      ,Broadway Books,In a Sunburned Country,Bill Bryson,Mystery,799,38.74,3.28,161,18.15
9780767903820      ,Broadway Books,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,Chick lit,226,96.41,3.26,234,16.87
9780060920081      ,William Morrow Paperbacks,The Lost Continent: Travels in Small Town America,Bill Bryson,Anthology,625,84.69,3.88,183,11.01
9780380713806      ,William Morrow Paperbacks,Neither Here nor There: Travels in Europe,Bill Bryson,Satire,918,80.5,4.05,31,38.59
9780380727506      ,William Morrow Paperbacks,Notes from a Small Island,Bill Bryson,Crime,1175,61.53,1.9,229,23.24
9780380715435      ,William Morrow Paperbacks,The Mother Tongue: English and How It Got That Way,Bill Bryson,Mystery,791,47.54,1.27,211,28.48
9780345538376      ,Ballantine Books,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,Satire,1290,57.84,3.23,273,21.49
9780618517657      ,Houghton Mifflin Harcourt,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,Fiction,649,76.72,2.77,45,38.36
9780618346257      ,Houghton Mifflin Harcourt,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,Anthology,1314,94.15,4.69,259,33.09
9780618260584      ,Houghton Mifflin Harcourt,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,Children,119,50.27,2.58,200,49.93
9780618391004      ,Houghton Mifflin Harcourt,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,Romance,919,32.42,4.76,98,37.52
9780618510825      ,Houghton Mifflin Harcourt,The Lord of the Rings: Complete Visual Companion,Jude Fisher,Graphic Novel,624,68.52,1.4,283,37.73
9780976694007      ,Pragmatic Bookshelf,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,Action,563,59.71,1.05,205,35.48
